ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
1142,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,24","0,00","95,13","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1143,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,98","0,00","94,94","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1144,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,76","0,00","47,05","81,51",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1145,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,34","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1146,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,05","0,00","94,88","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1147,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,92","0,00","94,92","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1148,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,92","0,00","47,27","81,87",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1149,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,08","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1150,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,98","0,00","95,04","19,00",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1151,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,70","0,00","95,00","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1152,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,50","0,00","47,55","82,11",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1153,0.00,encode_blocks_kernel,encode_blocks_kernel..,"549,98","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1154,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,08","0,00","94,90","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1155,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,73","0,00","94,84","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1156,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,66","0,00","47,08","82,01",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1157,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,30","0,00","97,90","19,58",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1158,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,21","0,00","95,03","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1159,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,02","0,00","94,88","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1160,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,76","0,00","47,18","81,49",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1161,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,34","0,00","97,90","19,58",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1162,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,05","0,00","95,05","19,00",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1163,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,66","0,00","95,19","19,02",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1164,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,47","0,00","47,33","82,35",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1165,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,11","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1166,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,18","0,00","94,91","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1167,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,02","0,00","95,13","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1168,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,82","0,00","47,34","81,39",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1169,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,11","0,00","97,87","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1170,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,89","0,00","94,91","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1171,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,95","0,00","95,13","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1172,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,38","0,00","47,90","82,44",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
